CustomerID,frequency,first_date,last_date,monetary
12583,251,01-12-2010 08:45,30-09-2011 12:58,7187.34
16098,67,01-12-2010 09:45,19-04-2011 16:31,2005.63
,641757,01-02-2011 10:02,31-10-2011 17:19,1447682.12
17967,48,03-12-2010 11:19,03-12-2010 11:19,123.07
13069,470,01-06-2011 15:31,25-11-2011 15:47,3717.82
17677,321,04-08-2011 17:40,31-08-2011 16:10,16219.22
15529,674,04-10-2011 10:49,25-03-2011 10:52,3967.78
16795,66,09-12-2010 14:08,09-12-2010 14:08,414.88
12872,66,09-12-2010 14:44,17-01-2011 10:52,599.97
12682,525,01-02-2011 14:58,31-08-2011 12:18,12288.22
14713,341,01-09-2011 19:11,30-11-2011 16:26,2664.26
12731,277,01-04-2011 11:10,31-03-2011 10:29,18793.41
14911,5903,01-02-2011 08:31,31-10-2011 14:22,132572.62
16701,154,01-12-2011 11:10,28-06-2011 15:10,5150.27
16805,98,14-12-2010 13:35,19-06-2011 11:23,460.59
12867,551,04-09-2011 12:53,27-06-2011 15:04,3986.22
14258,112,06-01-2011 12:18,30-11-2011 15:27,12650.08
16122,38,08-12-2010 11:41,27-09-2011 15:34,684.42
17365,468,11-01-2011 12:11,31-03-2011 11:25,4801.56
13246,143,13-01-2011 13:36,21-11-2011 16:50,1922.1
12748,4642,01-04-2011 14:05,31-07-2011 15:04,29072.1
18069,472,12-06-2011 15:14,18-04-2011 16:31,2021.82
12673,42,04-12-2011 13:55,17-01-2011 11:46,610.52
12510,33,18-01-2011 14:04,20-07-2011 10:15,982.57
12451,355,05-05-2011 17:34,29-11-2011 08:40,8933.52
16395,210,10-10-2011 12:50,24-06-2011 15:28,1486.9
12637,394,03-10-2011 13:46,27-01-2011 09:40,5953.25
13230,612,02-03-2011 17:32,26-04-2011 14:47,2763.41
17236,105,11-04-2011 15:59,27-11-2011 12:00,916.13
13148,347,03-07-2011 12:22,30-01-2011 15:22,3348.48
12681,646,05-01-2011 12:42,31-01-2011 15:36,13677.59
12754,65,04-02-2011 10:31,18-04-2011 09:00,2949.12
17085,189,03-04-2011 11:36,20-12-2010 11:08,1555.05
15382,306,04-05-2011 10:10,25-11-2011 10:58,5927.86
17994,84,03-06-2011 09:50,22-02-2011 11:02,629.69
13870,118,02-11-2011 12:35,30-10-2011 16:11,2751.25
15514,218,04-03-2011 12:16,28-04-2011 12:06,2963.19
14769,1094,07-12-2011 10:24,23-09-2011 08:21,10641.6
17337,548,02-02-2011 17:06,12-05-2011 20:13,1944.32
18079,127,05-08-2011 11:00,25-10-2011 15:27,3651.97
14525,298,01-12-2011 08:53,31-08-2011 14:28,4221.37
15547,702,02-10-2011 14:47,30-10-2011 15:19,4954.84
17629,124,03-04-2011 11:36,21-11-2011 17:04,1784.12
14189,277,01-11-2011 09:58,31-03-2011 14:51,4604.31
15203,142,01-02-2011 12:29,26-08-2011 09:58,1827.8
16551,32,01-08-2011 12:28,07-01-2011 10:24,922.12
16607,174,02-08-2011 10:24,29-03-2011 15:15,3038.67
13717,103,03-08-2011 08:21,20-06-2011 15:08,1432.26
15150,344,03-08-2011 14:19,30-09-2011 12:40,5303.97
15974,177,05-09-2011 15:40,31-10-2011 13:13,3429.55
15298,194,05-01-2011 16:00,30-10-2011 11:09,3774.1
16460,135,11-11-2011 13:46,28-09-2011 12:22,814.72
14321,123,10-01-2011 11:35,29-11-2011 09:47,1530.75
14535,333,04-08-2011 15:04,11-10-2011 16:24,2841.09
18096,213,07-10-2011 11:55,28-11-2011 12:44,911.15
17870,280,07-12-2011 15:07,29-09-2011 10:20,1889.4
13091,24,11-11-2011 15:54,18-11-2011 16:48,319.82
14904,69,07-12-2011 12:55,14-11-2011 09:13,1025.44
16924,89,06-10-2011 11:41,18-11-2011 12:53,739.5
16712,447,02-08-2011 13:15,30-11-2011 13:48,3645.43
17198,96,03-12-2010 14:54,16-11-2011 10:39,692.22
15021,479,01-12-2011 10:38,23-03-2011 12:24,1872.28
16931,898,01-05-2011 11:14,31-10-2011 12:01,4604.22
15026,61,07-03-2011 13:45,20-09-2011 13:52,469
15752,412,02-12-2010 09:43,31-10-2011 11:37,2628.93
16657,208,14-07-2011 11:45,30-11-2011 11:48,933.62
15854,140,01-02-2011 13:55,22-07-2011 13:17,2974.65
18043,121,08-12-2010 12:35,17-05-2011 12:40,559.51
18013,31,07-07-2011 14:08,07-07-2011 14:11,187.29
17809,64,01-12-2010 09:41,24-06-2011 15:05,4627.62
17585,214,05-01-2011 15:09,22-08-2011 13:30,1133.07
16983,149,04-09-2011 11:00,27-11-2011 12:10,1920.2
14446,293,07-04-2011 12:10,20-09-2011 12:35,1039.58
14456,977,04-12-2011 13:48,31-07-2011 15:00,3047.63
17950,72,09-12-2010 15:16,28-09-2011 15:18,472.12
17321,107,01-12-2011 13:41,03-10-2011 11:34,700.86
16686,588,02-09-2011 17:38,29-05-2011 14:08,3043.48
13316,88,02-11-2011 13:40,31-07-2011 11:48,5815.49
17203,152,04-11-2011 10:47,18-10-2011 12:07,3563.85
18022,191,04-11-2011 12:45,04-11-2011 12:45,668.11
12577,148,04-11-2011 13:15,15-12-2010 16:21,595.4
15877,131,08-12-2011 11:53,22-11-2011 11:18,440.78
17968,85,01-12-2010 12:23,01-12-2010 12:23,277.35
16898,163,06-12-2010 12:23,15-06-2011 13:35,444.46
15750,295,01-03-2011 16:34,28-09-2011 13:00,2451.23
16722,228,01-09-2011 11:38,26-04-2011 08:33,4711.21
16145,237,01-09-2011 10:11,30-10-2011 13:17,3741.98
17511,1071,01-02-2011 10:38,29-03-2011 15:18,87533.66
18062,27,03-05-2011 09:34,19-06-2011 14:47,720.52
12735,43,06-01-2011 14:26,28-01-2011 13:37,779.57
12501,160,07-01-2011 12:28,28-01-2011 13:54,2089.68
12524,144,01-05-2011 13:18,30-11-2011 15:31,4485.72
14320,42,11-01-2011 09:12,21-01-2011 11:17,343.11
17722,120,03-06-2011 12:39,26-01-2011 17:04,2380.64
14670,132,04-03-2011 13:58,04-03-2011 14:13,411.53
15358,561,04-03-2011 14:41,31-01-2011 16:26,8234.8
17644,169,03-11-2011 15:01,24-03-2011 09:44,2768.98
13266,202,04-07-2011 12:47,28-11-2011 14:39,3717.67
17220,472,01-09-2011 15:56,31-01-2011 11:42,3198.25
14064,82,10-03-2011 12:59,31-03-2011 13:14,1188.32
12580,24,07-04-2011 10:24,07-04-2011 10:24,415.7
14465,130,07-04-2011 12:29,10-02-2011 12:13,1058.62
14286,285,11-04-2011 08:16,31-10-2011 10:58,4595.81
15498,523,03-06-2011 10:19,31-08-2011 12:29,12396.46
15048,98,03-05-2011 11:40,15-08-2011 10:06,380.57
16121,212,08-05-2011 11:52,13-10-2011 12:59,867.11
17323,204,07-08-2011 12:05,26-06-2011 12:04,908.99
16710,402,06-12-2010 13:13,26-09-2011 16:15,2483.04
13758,117,01-04-2011 09:21,28-11-2011 11:11,3190.55
13983,112,05-06-2011 16:02,31-10-2011 12:05,2590.46
17522,73,05-05-2011 16:31,24-07-2011 12:29,1070.71
17920,696,01-07-2011 12:33,28-11-2011 10:46,4204.1
17975,297,02-02-2011 12:53,31-05-2011 12:42,4393.61
16283,168,02-10-2011 13:49,15-05-2011 13:37,1531.51
14862,48,14-07-2011 11:20,14-11-2011 10:01,841.2
16859,72,18-07-2011 12:19,25-08-2011 14:12,473.14
16723,43,09-09-2011 13:01,24-08-2011 11:31,589.15
12649,33,09-12-2010 14:42,24-08-2011 14:41,603.71
16172,69,01-08-2011 15:37,17-06-2011 11:38,1140.21
14412,45,04-11-2011 13:14,28-10-2011 10:45,761.33
13505,227,02-08-2011 16:26,31-05-2011 15:41,4282.88
17813,378,01-11-2011 15:26,29-09-2011 15:57,1714.6
12473,179,01-06-2011 10:15,17-10-2011 11:27,2848.23
16887,37,04-11-2011 14:07,04-11-2011 14:07,194.88
12518,124,09-12-2011 10:13,23-09-2011 15:45,2056.89
15983,113,01-12-2010 12:15,17-11-2011 17:34,1475.02
18118,1284,01-04-2011 10:21,29-11-2011 11:32,5595.77
17259,124,06-12-2010 12:55,14-07-2011 15:01,603.37
15271,275,02-08-2011 14:50,30-06-2011 08:17,2485.82
16519,13,09-12-2010 14:08,14-11-2011 15:41,215.08
14621,96,04-08-2011 17:58,16-12-2010 13:00,1765.76
15194,326,01-03-2011 10:08,31-01-2011 15:17,7521.17
17744,137,03-04-2011 12:46,21-01-2011 09:03,2291.08
12782,107,05-01-2011 10:50,31-03-2011 12:36,2273.32
18245,177,02-12-2011 14:48,31-01-2011 11:46,2507.56
15235,143,01-12-2010 17:22,28-02-2011 09:43,2247.51
14916,79,07-09-2011 10:07,30-09-2011 09:20,1264.84
13198,229,04-04-2011 09:55,29-11-2011 15:17,3384.09
17083,52,09-02-2011 11:38,22-08-2011 15:43,1405.78
17338,757,01-07-2011 13:02,22-11-2011 14:23,6612.18
13501,53,11-04-2011 09:35,24-02-2011 18:59,1310.47
14056,1128,03-08-2011 16:33,31-03-2011 15:43,8124.4
15676,216,01-03-2011 10:19,30-11-2011 17:39,3324.09
15709,6,01-03-2011 10:38,01-03-2011 10:38,133.25
14779,41,04-03-2011 12:42,21-01-2011 12:40,386.15
15129,84,05-05-2011 08:32,29-03-2011 13:05,3447.4
15738,176,02-12-2010 12:50,31-01-2011 12:09,4788.77
12955,183,01-12-2011 13:18,28-06-2011 11:30,4734.26
15292,25,22-05-2011 15:00,22-05-2011 15:00,180.94
15184,63,02-06-2011 12:06,10-11-2011 13:41,406.76
14159,1212,05-06-2011 14:06,30-10-2011 11:55,4678.3
16817,95,05-04-2011 10:13,25-03-2011 13:30,1446.95
16133,365,01-08-2011 13:44,31-10-2011 09:58,14305.66
17015,217,07-06-2011 13:19,29-09-2011 17:36,1842.56
14375,75,07-06-2011 13:44,07-06-2011 13:44,257.68
17987,13,07-06-2011 14:22,07-06-2011 14:22,198.57
16841,117,03-11-2011 11:51,25-07-2011 13:06,1774.62
13184,183,01-04-2011 12:19,26-04-2011 14:19,1648.79
16011,212,01-02-2011 14:43,29-09-2011 09:55,3362.71
14132,201,03-08-2011 10:49,30-06-2011 17:29,3580.13
14913,87,04-11-2011 08:29,15-12-2010 14:35,1227.43
17422,135,03-05-2011 10:49,26-07-2011 10:24,1853.13
13936,27,13-06-2011 08:47,21-06-2011 17:44,361.28
17795,46,13-06-2011 12:36,20-03-2011 12:02,350.39
17719,278,02-06-2011 15:48,30-06-2011 16:20,5367.8
16241,662,04-01-2011 15:50,30-11-2011 11:08,2607.87
16571,106,03-03-2011 09:41,16-06-2011 13:14,1285.22
16880,178,01-09-2011 11:22,19-06-2011 13:01,1519.08
17444,135,11-07-2011 10:33,20-06-2011 09:04,2940.04
14460,17,02-02-2011 11:54,21-08-2011 14:19,383.34
14643,34,16-12-2010 17:53,22-06-2011 14:41,668.61
15041,67,22-06-2011 16:16,22-06-2011 16:16,180.35
15850,97,20-11-2011 14:14,24-06-2011 14:16,238.85
13004,409,02-06-2011 11:42,29-07-2011 16:24,5613.43
17372,253,09-06-2011 13:50,30-10-2011 11:37,1342.68
14481,30,25-02-2011 13:53,28-06-2011 10:38,636.51
13614,201,11-09-2011 14:05,28-06-2011 14:58,1610.46
17800,104,01-07-2011 10:58,21-10-2011 13:24,1199.01
17888,81,01-07-2011 13:17,26-01-2011 12:45,525.78
13901,149,04-07-2011 12:25,28-09-2011 14:48,2867.2
17765,57,04-07-2011 12:41,28-03-2011 11:58,371.88
18263,62,01-04-2011 11:48,16-11-2011 16:19,1211.08
17611,582,02-12-2011 13:28,28-10-2011 14:38,3947.87
15675,21,04-03-2011 14:21,19-09-2011 13:48,323.69
14534,558,05-09-2011 12:20,27-07-2011 15:09,4075.35
13064,69,10-07-2011 11:34,27-11-2011 12:31,1119.49
17126,262,10-07-2011 12:10,13-02-2011 12:05,991.85
13394,164,02-11-2011 12:32,22-09-2011 16:20,2312.8
14498,193,06-06-2011 14:34,28-10-2011 12:09,1957.32
13149,86,13-07-2011 13:20,25-11-2011 13:09,1676.06
17554,88,08-12-2011 14:15,23-11-2011 08:42,1952.45
13507,162,02-09-2011 15:45,24-08-2011 15:12,2479.16
14298,1640,01-09-2011 14:26,31-01-2011 12:33,50862.44
15570,330,02-12-2011 14:47,29-11-2011 15:24,4109.97
14407,76,06-04-2011 09:25,29-07-2011 08:48,2111.08
16948,19,18-01-2011 10:58,24-07-2011 12:46,435.02
18180,119,05-12-2011 08:39,26-07-2011 08:51,1843.75
15172,110,01-12-2011 11:51,30-09-2011 13:15,1624.05
15861,547,13-11-2011 15:05,28-07-2011 11:29,3000.36
14002,47,06-07-2011 14:59,28-07-2011 15:55,529.73
17695,35,21-06-2011 12:35,31-07-2011 10:40,765.34
17429,42,03-08-2011 13:22,11-08-2011 10:13,512.12
16187,297,01-09-2011 09:19,28-04-2011 09:02,6841.24
15254,18,04-08-2011 15:04,04-08-2011 15:04,300.36
14079,12,07-08-2011 12:10,07-08-2011 12:10,375.1
18226,245,01-11-2011 09:57,29-03-2011 10:50,5192.1
14156,1420,01-03-2011 14:47,31-07-2011 15:42,113384.14
16706,123,02-09-2011 13:41,17-08-2011 15:53,531.35
12688,171,18-08-2011 08:49,18-08-2011 08:49,4873.81
14418,124,06-12-2011 11:39,23-08-2011 17:18,1937.25
15812,41,03-06-2011 15:31,30-03-2011 14:39,1801.14
14262,143,01-12-2011 14:17,24-08-2011 15:04,2618.23
14194,604,04-02-2011 14:51,30-11-2011 17:32,11216.75
13527,224,06-11-2011 12:04,26-08-2011 13:22,2263.76
17653,50,01-09-2011 12:17,11-08-2011 15:24,1175.88
15719,938,01-09-2011 12:41,24-05-2011 11:31,5043.96
17576,417,01-09-2011 16:30,27-09-2011 17:03,3457.78
13108,10,02-12-2010 10:35,02-12-2010 10:35,350.06
13506,29,05-12-2010 12:15,31-01-2011 15:27,452.82
14419,206,01-04-2011 11:47,29-11-2011 11:22,1058.06
17757,742,01-06-2011 16:03,30-09-2011 13:54,5585.49
18075,153,01-03-2011 10:26,30-03-2011 17:09,2538.72
14150,26,04-11-2011 10:05,15-12-2010 10:04,658.64
15157,133,06-12-2011 11:28,17-12-2010 16:25,1869.5
16210,123,01-12-2010 12:27,30-11-2011 10:54,21086.3
15789,25,16-12-2010 14:35,16-12-2010 14:35,351.3
13694,585,01-04-2011 09:19,31-08-2011 16:34,62653.1
15279,21,09-12-2010 14:58,20-12-2010 10:48,277.41
13126,142,01-11-2011 09:39,31-03-2011 16:40,2056.29
16600,62,05-01-2011 12:13,31-03-2011 19:20,813.52
14739,61,04-05-2011 11:58,20-11-2011 10:37,3899.1
13233,43,07-01-2011 14:49,26-09-2011 13:25,605.12
13162,82,08-06-2011 15:38,20-04-2011 15:38,1644.99
13473,22,10-10-2011 11:20,13-01-2011 12:56,417.54
14307,180,01-12-2010 11:41,28-07-2011 09:45,2995.72
17094,15,21-01-2011 13:09,25-01-2011 17:24,270.2
18125,197,10-11-2011 12:29,27-01-2011 15:02,1141.34
16700,312,01-04-2011 11:20,27-01-2011 12:19,5040
16378,23,02-02-2011 12:42,16-02-2011 10:32,362.95
14309,123,01-12-2011 13:33,24-06-2011 12:51,2319.68
15065,158,02-11-2011 09:45,28-06-2011 11:44,3135.98
12633,103,02-08-2011 09:35,27-05-2011 10:29,2140.63
17416,271,03-03-2011 13:45,30-08-2011 14:20,6838.34
16392,45,15-03-2011 12:11,15-03-2011 12:11,221.19
14408,107,01-08-2011 11:23,29-11-2011 11:41,2606.53
17625,315,19-10-2011 12:21,27-03-2011 12:21,2047
16609,280,01-04-2011 10:11,27-07-2011 13:51,5450.96
14606,2782,01-02-2011 11:12,30-11-2011 14:00,11713.85
17368,128,06-01-2011 11:57,25-03-2011 14:01,1349.52
14053,4,03-07-2011 12:21,07-08-2011 14:27,260.25
15987,140,04-05-2011 13:11,27-11-2011 15:38,1451.28
16054,70,17-07-2011 13:08,17-07-2011 13:08,783.9
12438,98,22-07-2011 13:29,25-11-2011 13:28,2906.85
